2024-11-25 22:50:55,074 - Inicio de prueba del entorno.
2024-11-25 22:50:55,075 - Step: 0, Action: 2, Reward: 0.08707668921980694, State: [ 0.91292331  0.          0.         12.62121025  0.69081005]
2024-11-25 22:50:55,075 - Step: 1, Action: 1, Reward: 0.028617596945500923, State: [0.9713824  0.         0.         7.62121025 0.44079045]
2024-11-25 22:50:55,076 - Step: 2, Action: 1, Reward: 0.020157136818134136, State: [0.97984286 0.         0.         2.62121025 0.18499767]
2024-11-25 22:50:55,076 - Step: 3, Action: 2, Reward: 0, State: [1.         0.         0.         7.62121025 0.68204404]
2024-11-25 22:50:55,077 - Step: 4, Action: 1, Reward: 0, State: [1.         0.         0.         2.62121025 0.94696575]
2024-11-25 22:50:55,077 - Step: 5, Action: 1, Reward: 0.028418720300148248, State: [ 0.97158128  0.          0.         -2.37878975  0.68469297]
2024-11-25 22:50:55,077 - Step: 6, Action: 1, Reward: 0.058145556777321694, State: [ 0.94185444  0.          0.         -7.37878975  0.23146607]
2024-11-25 22:50:55,078 - Step: 7, Action: 1, Reward: 0.2580314435598965, State: [  0.74196856   0.           0.         -12.37878975   0.9324177 ]
2024-11-25 22:50:55,078 - Step: 8, Action: 1, Reward: 0.5021845145481421, State: [  0.49781549   0.           0.         -17.37878975   0.81741972]
2024-11-25 22:50:55,079 - Step: 9, Action: 1, Reward: 0.5033855164599503, State: [ 4.96614484e-01  0.00000000e+00  0.00000000e+00 -2.23787897e+01
  3.15448724e-03]
2024-11-25 22:50:55,079 - Step: 10, Action: 1, Reward: 0.8579182294594028, State: [  0.14208177   0.           0.         -27.37878975   0.77093933]
2024-11-25 22:50:55,080 - Step: 11, Action: 2, Reward: 0.9554262172710255, State: [ -0.04457378   0.           0.         -22.37878975   0.49025947]
2024-11-25 22:50:55,080 - Step: 12, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.82656406]
2024-11-25 22:50:55,081 - Step: 13, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.17956931]
2024-11-25 22:50:55,081 - Step: 14, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.59894728]
2024-11-25 22:50:55,081 - Step: 15, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.34456086]
2024-11-25 22:50:55,082 - Step: 16, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.19555979]
2024-11-25 22:50:55,082 - Step: 17, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.01586673]
2024-11-25 22:50:55,082 - Step: 18, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.94299992]
2024-11-25 22:50:55,083 - Step: 19, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.83102881]
2024-11-25 22:50:55,083 - Step: 20, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.20023467]
2024-11-25 22:50:55,084 - Step: 21, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.75049758]
2024-11-25 22:50:55,084 - Step: 22, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.52033185]
2024-11-25 22:50:55,085 - Step: 23, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.67262637]
2024-11-25 22:50:55,085 - Step: 24, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.94087506]
2024-11-25 22:50:55,085 - Step: 25, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.91874084]
2024-11-25 22:50:55,086 - Step: 26, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.06069734]
2024-11-25 22:50:55,086 - Step: 27, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.85498478]
2024-11-25 22:50:55,086 - Step: 28, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.2747844 ]
2024-11-25 22:50:55,087 - Step: 29, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.88369687]
2024-11-25 22:50:55,087 - Step: 30, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.73801713]
2024-11-25 22:50:55,088 - Step: 31, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.19424615]
2024-11-25 22:50:55,088 - Step: 32, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.90753641]
